Name,EcoScore,Countries,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17
Bordeaux 2014 &quot;Cour de Mandelotte&quot;,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Baturrica,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins espagnols,,,,,,,,,,,,,
Vin,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
chateau ferrande ,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Graves,,,,,,,,,,,
Cabernet Sauvignon Western Cellars,41,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
"Fabulous Muscat doux sans alcool 0,0%",60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Boissons sans alcool,Muscats,Vins sans alcool,Boissons avec sucre ajouté,,,,,,,
Gris Blanc rose,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Cabernet Sauvignon,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Muscat de Rivesaltes,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Muscats,Muscat de Rivesaltes,,,,,,,,,
Porto Tawny Port 10 ans d'âge 20°,39,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins portugais,Porto,,,,,,,,,
Château Merrain Rouge,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,Vins du Médoc,Médoc,,,,,,,,,
Vin Blanc cuisine,28,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
